Wavenumber,ImaginaryRefractiveIndex
7556.90730024505,4.94001016096e-05
7556.42517038582,4.94001016096e-05
7555.94304052659,4.94001016096e-05
7555.46091066736,4.94001016096e-05
7554.97878080813,4.950023182528e-05
7554.4966509489,4.950023182528e-05
7554.01452108968,4.94001016096e-05
7553.53239123045,4.94001016096e-05
7553.05026137122,4.94001016096e-05
7552.56813151199,4.94001016096e-05
7552.08600165276,4.929997139392e-05
7551.60387179354,4.929997139392e-05
7551.12174193431,4.929997139392e-05
7550.63961207508,4.929997139392e-05
7550.15748221585,4.94001016096e-05
7549.67535235662,4.950023182528e-05
7549.19322249739,4.94001016096e-05
7548.71109263816,4.94001016096e-05
7548.22896277894,4.94001016096e-05
7547.74683291971,4.94001016096e-05
7547.26470306048,4.950023182528e-05
7546.78257320125,4.950023182528e-05
7546.30044334202,4.94001016096e-05
7545.8183134828,4.929997139392e-05
7545.33618362357,4.929997139392e-05
7544.85405376434,4.929997139392e-05
7544.37192390511,4.929997139392e-05
7543.88979404588,4.929997139392e-05
7543.40766418665,4.929997139392e-05
7542.92553432742,4.929997139392e-05
7542.4434044682,4.94001016096e-05
7541.96127460897,4.950023182528e-05
7541.47914474974,4.950023182528e-05
7540.99701489051,4.95998563328e-05
7540.51488503128,4.95998563328e-05
7540.03275517205,4.950023182528e-05
7539.55062531283,4.950023182528e-05
7539.0684954536,4.950023182528e-05
7538.58636559437,4.950023182528e-05
7538.10423573514,4.95998563328e-05
7537.62210587591,4.950023182528e-05
7537.13997601668,4.94001016096e-05
7536.65784615746,4.919984117824e-05
7536.17571629823,4.919984117824e-05
7535.693586439,4.919984117824e-05
7535.21145657977,4.929997139392e-05
7534.72932672054,4.929997139392e-05
7534.24719686131,4.929997139392e-05
7533.76506700209,4.94001016096e-05
7533.28293714286,4.94001016096e-05
7532.80080728363,4.950023182528e-05
7532.3186774244,4.95998563328e-05
7531.83654756517,4.95998563328e-05
7531.35441770594,4.95998563328e-05
7530.87228784672,4.94001016096e-05
7530.39015798749,4.929997139392e-05
7529.90802812826,4.929997139392e-05
7529.42589826903,4.94001016096e-05
7528.9437684098,4.950023182528e-05
7528.46163855057,4.950023182528e-05
7527.97950869135,4.950023182528e-05
7527.49737883212,4.94001016096e-05
7527.01524897289,4.94001016096e-05
7526.53311911366,4.950023182528e-05
7526.05098925443,4.950023182528e-05
7525.5688593952,4.95998563328e-05
7525.08672953597,4.95998563328e-05
7524.60459967675,4.95998563328e-05
7524.12246981752,4.950023182528e-05
7523.64033995829,4.950023182528e-05
7523.15821009906,4.950023182528e-05
7522.67608023983,4.950023182528e-05
7522.1939503806,4.95998563328e-05
7521.71182052138,4.95998563328e-05
7521.22969066215,4.95998563328e-05
7520.74756080292,4.950023182528e-05
7520.26543094369,4.950023182528e-05
7519.78330108446,4.95998563328e-05
